"Notes"	"County"	"County Code"	Births
	"Atlantic County, NJ"	"34001"	2968
	"Bergen County, NJ"	"34003"	9499
	"Burlington County, NJ"	"34005"	4422
	"Camden County, NJ"	"34007"	6235
	"Cumberland County, NJ"	"34011"	1992
	"Essex County, NJ"	"34013"	10325
	"Gloucester County, NJ"	"34015"	2935
	"Hudson County, NJ"	"34017"	10437
	"Hunterdon County, NJ"	"34019"	922
	"Mercer County, NJ"	"34021"	4125
	"Middlesex County, NJ"	"34023"	9241
	"Monmouth County, NJ"	"34025"	5952
	"Morris County, NJ"	"34027"	4717
	"Ocean County, NJ"	"34029"	8537
	"Passaic County, NJ"	"34031"	7004
	"Somerset County, NJ"	"34035"	3278
	"Sussex County, NJ"	"34037"	1189
	"Union County, NJ"	"34039"	6823
	"Warren County, NJ"	"34041"	968
	"Unidentified Counties, NJ"	"34999"	1558
	"Bernalillo County, NM"	"35001"	7920
	"Dona Ana County, NM"	"35013"	2939
	"Sandoval County, NM"	"35043"	1410
	"San Juan County, NM"	"35045"	1819
	"Santa Fe County, NM"	"35049"	1252
	"Unidentified Counties, NM"	"35999"	10476
	"Albany County, NY"	"36001"	3095
	"Bronx County, NY"	"36005"	21493
	"Broome County, NY"	"36007"	1977
	"Chautauqua County, NY"	"36013"	1434
	"Dutchess County, NY"	"36027"	2613
	"Erie County, NY"	"36029"	10172
	"Jefferson County, NY"	"36045"	2091
	"Kings County, NY"	"36047"	41599
	"Monroe County, NY"	"36055"	8178
	"Nassau County, NY"	"36059"	14278
	"New York County, NY"	"36061"	18139
	"Niagara County, NY"	"36063"	2148
	"Oneida County, NY"	"36065"	2512
	"Onondaga County, NY"	"36067"	5258
	"Ontario County, NY"	"36069"	1020
	"Orange County, NY"	"36071"	4872
	"Oswego County, NY"	"36075"	1199
	"Queens County, NY"	"36081"	30452
	"Rensselaer County, NY"	"36083"	1621
	"Richmond County, NY"	"36085"	5367
	"Rockland County, NY"	"36087"	5313
	"St. Lawrence County, NY"	"36089"	1176
	"Saratoga County, NY"	"36091"	2180
	"Schenectady County, NY"	"36093"	1821
	"Suffolk County, NY"	"36103"	15835
	"Tompkins County, NY"	"36109"	815
	"Ulster County, NY"	"36111"	1550
	"Westchester County, NY"	"36119"	10641
	"Unidentified Counties, NY"	"36999"	18425
	"Alamance County, NC"	"37001"	1783
	"Brunswick County, NC"	"37019"	1044
	"Buncombe County, NC"	"37021"	2625
	"Cabarrus County, NC"	"37025"	2457
	"Catawba County, NC"	"37035"	1754
	"Craven County, NC"	"37049"	1454
	"Cumberland County, NC"	"37051"	5412
	"Davidson County, NC"	"37057"	1749
	"Durham County, NC"	"37063"	4231
	"Forsyth County, NC"	"37067"	4340
	"Gaston County, NC"	"37071"	2525
	"Guilford County, NC"	"37081"	6096
	"Harnett County, NC"	"37085"	1800
	"Henderson County, NC"	"37089"	1067
	"Iredell County, NC"	"37097"	1935
	"Johnston County, NC"	"37101"	2268
	"Mecklenburg County, NC"	"37119"	14860
	"New Hanover County, NC"	"37129"	2312
	"Onslow County, NC"	"37133"	4172
	"Orange County, NC"	"37135"	1206
	"Pitt County, NC"	"37147"	2163
	"Randolph County, NC"	"37151"	1558
	"Robeson County, NC"	"37155"	1773
	"Rowan County, NC"	"37159"	1604
	"Union County, NC"	"37179"	2359
	"Wake County, NC"	"37183"	12865
	"Wayne County, NC"	"37191"	1631
	"Unidentified Counties, NC"	"37999"	31800
	"Cass County, ND"	"38017"	2568
	"Unidentified Counties, ND"	"38999"	8746
	"Allen County, OH"	"39003"	1286
	"Ashtabula County, OH"	"39007"	1120
	"Butler County, OH"	"39017"	4588
	"Clark County, OH"	"39023"	1626
